RELATORIO ATUALIZADO: EQUIPAMENTOS ONLINE MAS SEM ACESSO SNMP
Estes 57 equipamentos foram confirmados SEM SNMP apos teste lento de precisao.
===========================================================================
IP: 192.168.103.55  | Status: FAIL_SNMP
IP: 192.168.103.69  | Status: FAIL_SNMP
IP: 192.168.104.21  | Status: FAIL_SNMP
IP: 192.168.104.31  | Status: FAIL_SNMP
IP: 192.168.104.41  | Status: FAIL_SNMP
IP: 192.168.104.42  | Status: FAIL_SNMP
IP: 192.168.104.50  | Status: FAIL_SNMP
IP: 192.168.104.51  | Status: FAIL_SNMP
IP: 192.168.106.103 | Status: FAIL_SNMP
IP: 192.168.106.43  | Status: FAIL_SNMP
IP: 192.168.106.51  | Status: FAIL_SNMP
IP: 192.168.108.122 | Status: FAIL_SNMP
IP: 192.168.108.19  | Status: FAIL_SNMP
IP: 192.168.108.23  | Status: FAIL_SNMP
IP: 192.168.108.43  | Status: FAIL_SNMP
IP: 192.168.108.66  | Status: FAIL_SNMP
IP: 192.168.108.78  | Status: FAIL_SNMP
IP: 192.168.109.10  | Status: FAIL_SNMP
IP: 192.168.109.11  | Status: FAIL_SNMP
IP: 192.168.109.251 | Status: FAIL_SNMP
IP: 192.168.109.7   | Status: FAIL_SNMP
IP: 192.168.110.2   | Status: FAIL_SNMP
IP: 192.168.110.20  | Status: FAIL_SNMP
IP: 192.168.110.21  | Status: FAIL_SNMP
IP: 192.168.110.254 | Status: FAIL_SNMP
IP: 192.168.110.31  | Status: FAIL_SNMP
IP: 192.168.110.34  | Status: FAIL_SNMP
IP: 192.168.111.3   | Status: FAIL_SNMP
IP: 192.168.111.4   | Status: FAIL_SNMP
IP: 192.168.112.4   | Status: FAIL_SNMP
IP: 192.168.147.17  | Status: FAIL_SNMP
IP: 192.168.147.19  | Status: FAIL_SNMP
IP: 192.168.147.2   | Status: FAIL_SNMP
IP: 192.168.147.5   | Status: FAIL_SNMP
IP: 192.168.148.12  | Status: FAIL_SNMP
IP: 192.168.148.20  | Status: FAIL_SNMP
IP: 192.168.148.200 | Status: FAIL_SNMP
IP: 192.168.148.21  | Status: FAIL_SNMP
IP: 192.168.148.254 | Status: FAIL_SNMP
IP: 192.168.41.3    | Status: FAIL_SNMP
IP: 192.168.41.5    | Status: FAIL_SNMP
IP: 192.168.41.7    | Status: FAIL_SNMP
IP: 192.168.41.9    | Status: FAIL_SNMP
IP: 192.168.46.11   | Status: FAIL_SNMP
IP: 192.168.46.18   | Status: FAIL_SNMP
IP: 192.168.47.61   | Status: FAIL_SNMP
IP: 192.168.49.36   | Status: FAIL_SNMP
IP: 192.168.49.41   | Status: FAIL_SNMP
IP: 192.168.49.42   | Status: FAIL_SNMP
IP: 192.168.49.58   | Status: FAIL_SNMP
IP: 192.168.49.59   | Status: FAIL_SNMP
IP: 192.168.49.72   | Status: FAIL_SNMP
IP: 192.168.49.74   | Status: FAIL_SNMP
IP: 192.168.49.76   | Status: FAIL_SNMP
IP: 192.168.49.8    | Status: FAIL_SNMP
IP: 192.168.49.89   | Status: FAIL_SNMP
IP: 192.168.50.17   | Status: FAIL_SNMP
